tid_type,snr_db,epsilon,method,lock_pct,rms_s,bias_s,mae_s,mean_r,std_r
LSTID,50,0.0,autocorr,100.0,0.0,0.0,0.0,0.8100122750798587,0.03498684720346788
LSTID,50,0.1,fft,100.0,0.0,0.0,0.0,0.8172235590257849,0.028570396543542126
LSTID,50,0.1,autocorr,100.0,0.0,0.0,0.0,0.817593806296173,0.029609834887693632
LSTID,50,0.2,fft,100.0,0.0,0.0,0.0,0.8225580187214749,0.02923958894189932
LSTID,50,0.2,autocorr,96.66666666666667,635.3581667059927,-116.0,116.0,0.8119167958911733,0.04954536834867396
LSTID,50,0.3,fft,100.0,0.0,0.0,0.0,0.8167498446880509,0.03035354470863731
LSTID,50,0.3,autocorr,93.33333333333333,898.5321363201207,-232.0,232.0,0.7773426416015379,0.08476820757151449
LSTID,50,0.5,fft,100.0,0.0,0.0,0.0,0.8198918275662944,0.0272785760091078
LSTID,50,0.5,autocorr,73.33333333333333,1797.1644332113854,-926.0,934.0,0.7036336743141199,0.11614159269025828
LSTID,50,0.7,fft,100.0,0.0,0.0,0.0,0.8146504975675448,0.0330950511710763
LSTID,50,0.7,autocorr,63.33333333333333,2107.3300643231,-1270.0,1282.0,0.5763695139571324,0.07649933139005033
LSTID,50,1.0,fft,16.666666666666664,2190.534181426987,-1230.0,1818.0,0.5010886478424966,0.19590032047031625
LSTID,50,1.0,autocorr,36.666666666666664,2393.215410279651,-1654.0,1826.0,0.45859643541027256,0.1876960332985801
MSTID,30,0.0,fft,100.0,0.0,0.0,0.0,0.9608823064273323,0.017841077801288033
MSTID,30,0.0,autocorr,100.0,10.0,-10.0,10.0,0.9608946238782177,0.01774436016826496
MSTID,30,0.1,fft,100.0,0.0,0.0,0.0,0.9622638966528922,0.019343509570407126
MSTID,30,0.1,autocorr,100.0,10.0,-10.0,10.0,0.9624576633813066,0.019233607392774184
MSTID,30,0.2,fft,100.0,0.0,0.0,0.0,0.96006647788215,0.018474272709862006
MSTID,30,0.2,autocorr,100.0,9.83192080250175,-9.666666666666666,9.666666666666666,0.9603318106900509,0.0184164007019388
MSTID,30,0.3,fft,100.0,0.0,0.0,0.0,0.9609254965186154,0.017379996651574196
MSTID,30,0.3,autocorr,100.0,9.83192080250175,-9.666666666666666,9.666666666666666,0.9612313638417084,0.017154605959221768
MSTID,30,0.5,fft,100.0,0.0,0.0,0.0,0.958160690317786,0.0162894909168945
MSTID,30,0.5,autocorr,100.0,9.486832980505138,-9.0,9.0,0.9573009472925612,0.016367320714551572
MSTID,30,0.7,fft,100.0,0.0,0.0,0.0,0.9593186858294929,0.018610363528020722
MSTID,30,0.7,autocorr,100.0,7.745966692414834,-6.0,6.0,0.9511418454813385,0.01714727506683723
MSTID,30,1.0,fft,73.33333333333333,619.6773353931867,-240.0,320.0,0.6737785268446231,0.07353050696188752
MSTID,30,1.0,autocorr,86.66666666666667,436.4095935395249,-164.0,164.0,0.903360085573011,0.056910244392381105
MSTID,40,0.0,fft,100.0,0.0,0.0,0.0,0.9557124989974285,0.018578584448997047
MSTID,40,0.0,autocorr,100.0,10.0,-10.0,10.0,0.955743252921268,0.01845669643094363
MSTID,40,0.1,fft,100.0,0.0,0.0,0.0,0.9572732042055416,0.019340314159204345
MSTID,40,0.1,autocorr,100.0,10.0,-10.0,10.0,0.9574892165049703,0.01922684834501278
MSTID,40,0.2,fft,100.0,0.0,0.0,0.0,0.9560850032353311,0.01734270292108112
MSTID,40,0.2,autocorr,100.0,10.0,-10.0,10.0,0.9563534655081121,0.017176748504320077
MSTID,40,0.3,fft,100.0,0.0,0.0,0.0,0.9540492366042765,0.01861476008061006
MSTID,40,0.3,autocorr,100.0,9.66091783079296,-9.333333333333334,9.333333333333334,0.9545073370285257,0.018391102351454858
MSTID,40,0.5,fft,100.0,0.0,0.0,0.0,0.9528001478957734,0.019257380393571524
MSTID,40,0.5,autocorr,100.0,9.128709291752768,-8.333333333333334,8.333333333333334,0.9522408140357341,0.019087142936592166
MSTID,40,0.7,fft,100.0,0.0,0.0,0.0,0.9535711325458853,0.018202894466453904
MSTID,40,0.7,autocorr,100.0,7.302967433402215,-5.333333333333333,5.333333333333333,0.9445939086281105,0.01945442227618314
MSTID,40,1.0,fft,63.33333333333333,726.636084983398,-280.0,440.0,0.695382698924391,0.07335541057510667
MSTID,40,1.0,autocorr,93.33333333333333,308.6475876032945,-85.66666666666667,85.66666666666667,0.9070207089751122,0.04335033511583638
MSTID,50,0.0,fft,100.0,0.0,0.0,0.0,0.9551999896124271,0.017791933230189075
MSTID,50,0.0,autocorr,100.0,10.0,-10.0,10.0,0.9553422778447235,0.017691875236280238
MSTID,50,0.1,fft,100.0,0.0,0.0,0.0,0.961556269345953,0.01976545686277111
MSTID,50,0.1,autocorr,100.0,10.0,-10.0,10.0,0.9617517448876564,0.019575829780007405
MSTID,50,0.2,fft,100.0,0.0,0.0,0.0,0.9611677470482624,0.01986355992647533
MSTID,50,0.2,autocorr,100.0,10.0,-10.0,10.0,0.961466564813315,0.01971907586352557
MSTID,50,0.3,fft,100.0,0.0,0.0,0.0,0.961626254537178,0.016212709896556092
MSTID,50,0.3,autocorr,100.0,10.0,-10.0,10.0,0.9617969612059081,0.016125429150601625
MSTID,50,0.5,fft,100.0,0.0,0.0,0.0,0.9554319914916767,0.0190452171930444
MSTID,50,0.5,autocorr,100.0,8.755950357709132,-7.666666666666667,7.666666666666667,0.9547016101181371,0.01919007539806868
MSTID,50,0.7,fft,100.0,0.0,0.0,0.0,0.9578314998403786,0.020162145927193776
MSTID,50,0.7,autocorr,100.0,7.745966692414834,-6.0,6.0,0.9467672174727555,0.021213156449051612
MSTID,50,1.0,fft,56.666666666666664,789.9367063252599,-120.0,520.0,0.6732515836349691,0.041420381484399416
MSTID,50,1.0,autocorr,80.0,535.9415391004259,-242.66666666666666,242.66666666666666,0.8892518261517728,0.04590545818301498
